team,orb_rate_off_gravity,orb_rate_def_gravity,orb_rate_off_avg,orb_rate_def_avg
East Texas A&M,1.0162250409156246,0.8058522281401066,22.94477016213135,31.46945534613612
Eastern Illinois,1.2378503535146175,0.7793292285163411,25.1040283921803,33.79638459232027
Eastern Kentucky,0.7868314602628464,1.822535826850541,31.60513005043739,29.721518165272393
Eastern Michigan,1.150556183172512,0.4430450864626439,25.28508553742203,27.282666513618743
Eastern Washington,0.17366422191410533,1.5459799683101543,28.343811476510464,28.646451967553887
Elon,1.008216402779853,0.976612700430549,31.550638368192093,31.5556122626464
Evansville,0.888218977673056,1.273438530530641,19.569877721782007,29.480765098472126
FIU,1.2524430277974945,1.005036061510775,31.732649092398347,31.10742948137968
Fairfield,0.5918502381748698,-0.49504406179398536,34.65911329035693,27.07237249456261
Fairleigh Dickinson,0.5387725347373116,0.5556951683220878,29.456659897710388,24.062964080727838
Florida,1.1191913435037157,1.5622052963265955,42.19839104065313,22.296385478402332
Florida A&M,-1.2691170529066302,-0.40046675850780594,29.131807981298646,28.041895068868694
Florida Atlantic,1.2342844702508355,1.4915332338471208,30.549807580052505,25.343431973930855
Florida Gulf Coast,-0.0021730559013908007,0.5457775320614805,29.03899811462339,25.27707772293048
Florida St.,1.82320712313754,0.38321289417551324,29.478127435924605,32.206285904083906
Fordham,1.0103607283111589,0.9581072971857623,33.57861418168422,24.739796812938966
Fresno St.,0.6228407038441243,-0.2763260781860322,25.53086809309345,28.989262984018062
Furman,-0.008186088708918763,0.22306115127769455,29.055597362023867,25.164912304680428
Gardner Webb,0.9568207996007779,0.9160233705396593,20.36945216218361,35.87894550048032
George Mason,0.7197084220338154,1.3708936559850315,28.51622988842939,25.908090879635512
George Washington,1.119909289306695,0.7053777036276855,35.200507667385004,26.82396389942106
Georgetown,1.5493923465827935,0.04987687948447935,30.375275534028493,29.62115596331794
Georgia,1.4671276835576172,0.1700024290547656,32.53504382901082,32.101657358404374
Georgia Southern,1.3303030003530092,1.219138710682228,25.970385801109035,32.33908736514689
Georgia St.,0.9901894871405933,1.257308735579599,24.620767920567197,31.757608225207818
Georgia Tech,0.03737047098778709,0.9099705205563883,26.5818553147837,27.84628058588693
Gonzaga,1.1008506990040143,1.299726832303342,34.350521930056516,23.334958002204296
Grambling St.,1.5216121846751076,1.7118607384025712,28.038597133920984,30.865993874057036
Grand Canyon,1.1744558602375788,0.938033513847689,31.36116836963685,23.695924292432444
Green Bay,1.2462892329883446,-0.05847415584985083,22.46016020735834,27.066000017542724
Hampton,0.29655339047679036,1.1026114597453829,28.739882186862584,26.673336118721718
Harvard,0.8514738221972397,0.2620042016033067,24.181106789057466,26.133030290629865
Hawaii,0.19477585900582509,0.5667707075715912,28.172060934053054,23.2714448652837
High Point,0.7598009820821076,1.109993832114854,30.88092341367298,29.567228247514805
Hofstra,0.9318189404065746,0.4228526855549265,33.62732653804862,27.955831391972147
Holy Cross,1.0754887453333022,-0.04470449917900909,18.944082430862228,25.455202857543576
Houston,1.2376334586445827,3.4372227343092048,33.9161350913348,27.47831083688736
Houston Christian,1.657250115099369,1.0805963285232638,27.67545029727575,29.81469640624621
Howard,0.5321612424202213,0.7548562300368983,34.28194584025344,28.514676026948
IU Indy,1.6965412066112595,1.1480226145465937,26.644690332334466,34.84148040303219
Idaho,0.970785441917953,0.7165160270311782,25.785808887403984,21.413377628161935
Idaho St.,0.9463540813140128,-0.06788674222335755,31.77552267133761,26.31571123416199
Illinois,1.193804446278388,1.7972535005940686,39.078263167682245,25.59435695510703
Illinois Chicago,0.9755251852673491,1.5904735543034794,34.28304279116371,31.017633428227473
Illinois St.,0.9446860057199024,0.6994468758160526,27.282093499159245,23.311915954778357
Incarnate Word,0.3489554334409267,0.9338179799737477,29.735381893946055,29.40503686032057
Indiana,0.4298426854626369,2.57223438245071,24.175432822443547,27.722178244538142
Indiana St.,0.9694147221365762,1.1395931180364682,23.024560380316156,29.95239509271653
Iona,1.5882507052974164,2.2141980291681036,24.346192465587414,29.08592485858764
Iowa,2.377364110985977,1.7074068078859166,28.791504664688457,25.84247540021912
Iowa St.,1.2902041463072567,1.6356959311236998,33.24884296973407,25.74039748849512
Jackson St.,1.90944401646404,1.0792618125223001,26.883302726039553,34.90840392320019
Jacksonville,0.22069857804951645,0.0842590122366734,29.832384124531362,26.840723211015472
Jacksonville St.,0.7076095274516825,0.8916004720330131,27.498390045592476,24.562783761944814
James Madison,-0.5979238395634181,0.6850467106467611,28.503715630076982,26.484758166639136
Kansas,-2.008435582048158,3.8193442634869808,27.786192215003993,27.57091037216062
Kansas St.,-0.47775646629680685,0.75829824986742,27.16642304363145,33.25059478151976
Kennesaw St.,1.0033142050234476,0.8382431317095626,32.82141478339353,24.931283304335864
Kent St.,0.8181961518974192,0.3205358274530061,33.45117785270101,27.147767255306434
Kentucky,1.4018042488398852,3.599283363966574,33.72348977954712,27.3370895817537
LIU,0.9145357464396857,2.0149101852439846,33.052327807815026,29.583663770082456
LSU,1.2079371343096217,-0.9004242214988035,32.08426838472421,29.49722483510122
La Salle,1.1248736686880023,-0.8909010261261063,31.27344664550874,28.690075770861128
Lafayette,1.097647293308576,-1.7914103585882672,23.203607078689604,27.390688091254358
Lamar,0.7975476437057997,0.31805838602042413,33.70691716859995,26.549509861635375
Le Moyne,1.0002199544276698,-1.6029545697475007,22.25116946358875,27.824527297042117
Lehigh,1.053429896908346,2.0495844725996237,20.38356805969956,30.63055376533803
Liberty,0.955014121569538,0.5395584506166556,14.829307753987479,29.587583617001332
Lindenwood,0.24759601475810186,0.013948028641163015,30.796849756960693,28.310967798028333
Lipscomb,1.1490068028967209,1.0834638925587525,23.21734539038317,28.73877257663533
Little Rock,0.3643078537397264,0.9486038908537516,29.71998128549466,35.082733471927696
Long Beach St.,0.9217250665949513,0.6409068909535706,22.85921484641388,25.415105644519397
Longwood,0.7488217349668655,0.32924463061738385,34.04111250353658,25.704916590142062
Louisiana,1.3857952023135467,0.14572712927904052,26.133679654847576,28.40593588021424
Louisiana Monroe,1.056591620036887,1.0351746737999517,22.123708707507582,35.24353178819355
Louisiana Tech,0.920418894205079,-1.2441259680293135,34.947199439699794,27.912585669424878
Louisville,1.5527949193564645,1.7175094006416072,31.297019973212237,24.93041542188739
Loyola Chicago,-0.052722362360809114,1.2035070581503318,27.901642292404965,27.75130240973466
Loyola MD,1.3362691692970312,-0.4394433285510914,25.669210216903313,26.33707230751237
Loyola Marymount,0.9087477450245022,0.7132581802013626,24.328868533263677,29.82755267213302
Maine,1.0946059422590833,2.068881679384374,16.298243294359683,30.977608098510373
Manhattan,1.8790128625153828,1.104676236450238,26.671808708232327,35.93143366011825
Marist,3.1919497578764924,0.0711030596584752,27.315938763877625,26.04266652354211
Marquette,0.1380896778898216,0.41313617482377,26.778038682508146,31.98146057112321
Marshall,0.4263720557205886,1.373230085793573,29.713011042298657,31.263148869051644
Maryland,1.5224033198318223,2.0668542403937735,31.57641370078474,26.312008614835186
Maryland Eastern Shore,-0.25077220511768405,1.1301431622766294,29.646682352930224,31.434910840841
Massachusetts,0.5376963730564397,0.5520156106992405,30.219734558573705,23.35239491016159
McNeese St.,0.9379014315979505,0.8542226611944347,33.79994038014671,31.789673696754864
Memphis,1.2586211059668235,0.45345000616881953,33.04047419457764,32.94313473524042
Mercer,1.0184606297333876,1.3459243545335509,31.068732706976444,30.87094177538078
