team,efg_off_gravity,efg_def_gravity,efg_off_avg,efg_def_avg
Grambling St.,1.3720410922529647,-1.1841118994393076,48.93935130394708,50.4886720942385
Grand Canyon,0.05197134005685748,1.2592452218144383,52.00700965951979,47.452809467495975
Green Bay,0.4535434788882104,0.7291140332008478,55.2354368969168,53.834821024854534
Hampton,0.9657826533517352,1.8124205887466003,46.00621665939938,52.23155450200361
Harvard,0.5368141314760061,0.6122418433508713,53.6109940009194,51.04256130770182
Hawaii,0.13087120372411595,0.7562206532379219,52.86272983883145,46.843080070281765
High Point,0.722312253483998,-0.322642189111804,55.147941919153034,50.107817309277614
Hofstra,0.18418440793947577,0.823413885601847,51.787530554011354,46.05900467003156
Holy Cross,1.8332372443432048,1.1544524342629325,49.96131800694128,55.00414253608322
Houston,1.955021083029351,1.312830461542231,52.27508895512002,46.73411084409623
Houston Christian,1.5197264431549455,1.4432249313226966,49.99778067345535,54.572218876074444
Howard,0.9613299476904708,0.20375246947826905,51.386978537958676,47.69908027846282
IU Indy,-0.700013616161551,1.014991483163596,52.19170206503612,58.41705732488663
Idaho,-0.5410552411884275,0.5907073923053238,52.218633961567875,50.99647050048859
Idaho St.,-0.3327404410699694,0.8795622745886249,51.946468228412606,54.93692932860817
Illinois,1.5069770408751857,1.5975569421322982,55.13426326270272,47.66495896137222
Illinois Chicago,0.6626510228027325,1.3357622502397812,49.680275794659806,50.338780707109194
Illinois St.,1.1530172358190125,1.4748748086590677,53.79675931070556,50.38862243302891
Incarnate Word,1.3076377191860646,1.3644545438351474,50.37491362741904,54.73375242874211
Indiana,1.3114577342330247,1.8624172255303224,56.05361239889415,49.46151080713587
Indiana St.,1.392047927538808,0.7805817434845321,53.09139792490624,50.32567898809169
Iona,-0.17061850370390064,0.028068818691122294,51.921889897083645,49.179697269449164
Iowa,1.2451567247364492,-0.4308949160891753,56.45513063063028,52.6366533408728
Iowa St.,1.2849581944228037,1.5538994360022278,56.22134286414891,49.89426368158072
Jackson St.,1.0833446511593519,2.0513662526017638,45.85336029611486,53.13464413517207
Jacksonville,2.1715426527280868,0.9491255123120006,50.14208708458417,54.64246275473439
Jacksonville St.,0.8525935587015208,0.4040622847644217,50.074375957693924,50.16139119800879
James Madison,0.7175901368138734,0.4707427852982997,53.43237296308304,49.04031556209226
Kansas,2.6722825349290797,1.4133279519722697,52.580787154430084,45.029827697639035
Kansas St.,1.6758389981419763,-0.8067175099545869,53.39559475820872,52.487922561048556
Kennesaw St.,0.4265282234851603,0.5791504292560473,50.89591583662037,49.6226378299858
Kent St.,-0.17982619766062496,0.03971726756715496,52.65960842020522,52.28183121736286
Kentucky,1.9107753440646376,1.786418856959222,53.282024403517376,48.752261004693416
LIU,0.08615718566613038,-0.22769180859429794,53.3639140695092,49.80068443522409
LSU,1.5148466205342483,1.6621389796154256,53.43000763342746,51.17265662978405
La Salle,0.7686281600757807,0.6283856310655654,45.96449356667323,54.63281897229176
Lafayette,1.514043529168293,1.2739648828489665,49.46101608738771,53.808829643078916
Lamar,1.2746861478747122,-0.6838356517800692,47.85041959829758,51.02688261494677
Le Moyne,0.023359592000669952,-0.14089441777257772,53.47998127707109,49.20385291954123
Lehigh,0.0993360722006517,-0.4533699434532502,53.528838440022845,51.04892351010609
Liberty,1.0368803505078843,1.4788688253091218,60.208645768806704,53.00576928583647
Lindenwood,0.9952515981993285,-0.0022711949181948407,48.07613213727707,49.2738505386239
Lipscomb,0.3097132274144563,0.6616136014742521,54.349459320633336,53.14553970303991
Little Rock,0.9750819766307484,3.0910503255333377,49.68547805312245,52.15883167322636
Long Beach St.,0.5880728604307304,0.9920550328552425,50.87732828849623,53.99783198867025
Longwood,1.5024757578158447,1.532333950683948,50.02893925351724,53.89862917450018
Louisiana,1.070456693964782,2.179167635711287,47.23316805224599,52.64948356821431
Louisiana Monroe,1.1084012393136375,1.2874799615996122,47.77671444261493,56.99710140418685
Louisiana Tech,1.0862922150152883,0.9006240757207371,47.8303752300429,48.53353114345207
Louisville,1.3692564726628287,1.5824794464088852,57.050863255742215,48.665203054625124
Loyola Chicago,0.6660856927049281,0.11368859956894939,49.95124542396413,52.477685168147175
Loyola MD,1.7178760266355975,1.4767270713168772,50.446210194305436,54.984080751342375
Loyola Marymount,0.7877787613699114,1.1905325569859464,52.06297328460729,48.78568030716162
Maine,1.5070116485660985,-0.9237893652192347,49.800187802777565,50.95439557491061
Manhattan,1.080300714277033,1.9880948862774408,47.93263145351878,54.048114187419756
Marist,1.3090758355510494,0.5467871829195016,49.4146896589972,45.68076953788519
Marquette,-0.2279208535492391,1.7665995209488619,50.629480124779334,50.37966200137225
Marshall,0.9915845358151372,0.21978688943385177,54.90499047934254,50.37781190932262
Maryland,0.37642076217875725,0.11819434171149777,48.318337116411996,54.19875580630121
Maryland Eastern Shore,1.4232642341880881,-1.0504736511701827,47.96306760265631,50.5092533219263
Massachusetts,0.6671010519551186,0.8510981890664325,53.373019413909695,52.630394522389246
McNeese St.,0.29055725422983514,0.513190000517082,51.44824068417941,49.148645278837364
Memphis,0.5428393301478558,0.9943403348420032,48.94938998508061,48.80398190979178
Mercer,0.18842440997810303,1.2584770432841152,53.59614125633769,52.735113797581405
Mercyhurst,1.7108783113926023,-0.5846191957739649,49.592854668445035,50.22521929786706
Merrimack,1.09277047559408,0.6011094773875776,49.38338729588781,46.83489758453004
Miami FL,1.151407174604244,-0.06591412298307918,56.26195949386814,51.658784017082986
Miami OH,0.8042157507083663,0.5209882246582271,59.18270584907286,50.65430588426174
Michigan,1.2582834065858661,1.3879240496944343,58.71350242906592,44.50956175384497
Michigan St.,1.6835557167295112,1.7797431935572119,53.79139921823935,47.9436485182107
Middle Tennessee,0.43168344746845794,0.6315503990829964,51.734525482562454,51.11628519161609
Milwaukee,1.6712100573873678,0.8774389650327913,50.127940948175855,55.663134479161506
Minnesota,1.2129243140131358,-0.9655357507709563,54.322560808460885,51.845541714418744
Mississippi,0.08857013098961566,1.7917841920433892,50.38208303126792,51.21394740067367
Mississippi St.,1.3327768331272245,2.379166281389337,51.885390252314245,50.75755343167999
Mississippi Valley St.,1.2031090286775725,1.616421568456364,45.37538781986163,55.327874434957835
Missouri,1.255997763970156,0.41166618330921423,55.63105524824262,51.53915966560404
Missouri St.,0.28070179551510643,1.0067146011482977,50.92133732243242,52.2056831460788
Monmouth,0.7408943466285355,0.11423674629291836,49.621719432674624,50.316492082125876
Montana,0.8016963527837385,0.7358681312140232,56.239198171705354,50.96928655394366
Montana St.,0.4743016640936846,-0.15294261367372436,53.64137951456449,51.72526394768509
Morehead St.,1.121289219757722,-0.4716314162235881,49.50590410847117,50.04107354993066
Morgan St.,1.2940190851435316,2.727953170218711,46.74663242099298,52.955076532931564
Mount St. Mary's,1.3044467085299516,0.4542313385253236,50.74841848889371,47.28781285485014
Murray St.,0.9836460205788979,-0.056394725455594576,53.79668439914097,52.463337304230116
N.C. State,1.453501049766084,-0.5941537122108028,55.12307408218444,52.74141699019282
NJIT,1.2111907843776235,0.04077884544155802,46.96573810096085,50.077435461626216
Navy,-0.2362676717490444,0.5923890355536942,53.55167386877045,48.09968068174904
Nebraska,1.2794899143688439,1.43299291321456,55.521325126972805,47.6506544870604
Nebraska Omaha,-0.8338011480066195,1.1359453382666154,52.282482113548305,52.770135068079796
Nevada,0.5086550450540395,-0.6339422078401731,50.202394514821144,51.81278437200446
New Hampshire,1.084615383708946,1.2645480175016133,46.709492540085215,53.199330906944326
New Haven,1.447992857869938,1.948935253088175,49.039774921306915,51.944546820041865
New Mexico,1.167761652200623,1.3501157276792903,53.92463107258846,49.89352559762362
New Mexico St.,0.9412397858775795,0.8258021974891769,48.6028194912286,49.69281685242762
New Orleans,1.1945118786063094,0.48494189038112934,49.78378336129239,49.096308120181796
Niagara,1.1033699168875006,2.2685187138879552,50.75509173218322,53.05625667435077
Nicholls St.,0.9524579064736921,1.4575774350593114,50.8480349006923,54.45861455498053
Norfolk St.,1.7011466670056705,-0.7383287415800133,50.077842367838855,51.543105043530375
North Alabama,1.6053366483582567,0.9793579824163408,48.31617590226027,55.3718875037185
North Carolina,1.5608765147881598,1.6015635217472726,54.736105369623054,48.397187492912884
North Carolina A&T,1.1722654793583667,1.5738043990204718,50.864217592168245,52.99328672253553
North Carolina Central,1.2486268911249319,1.6005648411397855,47.90324345687253,55.37808191190587
North Dakota,1.3528953647799569,1.06980797515197,49.299342557383774,57.1651952427697
North Dakota St.,0.15567906125442982,-0.08994726559528878,53.61433197343756,51.59886544507309
North Florida,0.29235669721620083,1.0426988483290318,53.00752789468383,56.5028078475437
North Texas,0.968795756667265,0.7037110808663968,46.74782126089438,48.68637194485977
Northeastern,0.9010761353591527,1.0347557013573565,52.51239175547643,56.35622232026548
Northern Arizona,-0.1707912505857462,0.9422730823803461,51.94185336860544,57.20231631302531
Northern Colorado,0.686362417754489,1.1040006975538155,55.99526992892203,50.499464240009196
Northern Illinois,1.1603207616930873,1.0083477159474192,47.501629622562994,55.48264235409614
Northern Iowa,1.1974758546573914,1.1110610695542487,54.43822095028037,47.274080834801964
Northern Kentucky,-0.1699042104448477,0.8617469190925933,53.50054123556828,54.65670916783294
Northwestern,0.174434770204338,2.5656351201079937,51.60643089028401,51.113028707149084
Northwestern St.,1.1753995475032764,1.7950768914952249,48.7212285713313,53.29264840939228
Notre Dame,2.028577169932051,-0.7459305073938651,52.37465964148237,51.8035069799909
Oakland,0.1822624098591911,0.7376041668068422,52.69524871248396,54.84685069674236
Ohio,0.7706592971686194,0.38236715840832697,50.9962181244125,52.90184012606272
Ohio St.,1.2997746792790164,2.2657919553462635,57.15196302922211,50.19556662393357
Oklahoma,1.179423914804056,-0.4436358399907977,55.341042684396704,51.72147858505176
Oklahoma St.,1.6796121001834434,-0.20264761012204147,52.10552998799669,52.84603629748374
Old Dominion,0.7814862124928675,-0.08068791312749025,50.920170639377595,50.90151802307551
Oral Roberts,1.643823004333577,1.024825027360369,49.78977357251343,53.65366148749068
Oregon,0.046719301773601,2.1830511791032245,49.4040264757912,51.27209442267924
Oregon St.,-0.055204482738398175,1.2856093440442273,50.59967709455607,50.40996266936816
Pacific,0.9508866933249464,1.1269256569575918,52.65906780513528,50.050090605969906
Penn,0.7042749396740886,0.18583613246593483,50.525214502993144,52.187250958024414
Penn St.,1.6143522868218918,0.697167948822074,53.54579546660018,58.426218011251244
Pepperdine,0.7527864347543783,0.7215856776825599,47.71929889868223,54.39748374158351
Pittsburgh,-0.48263474846145454,-0.27083392958332486,50.637106458322926,53.06267510486745
Portland,-0.18674709103099296,-0.0781714655678647,51.09954200428145,52.62946037225706
Portland St.,1.7472594885742492,1.0344506240179971,50.77764018102064,48.871908886176456
Prairie View A&M,1.3951365002905374,-1.597068279434748,47.3918288486253,51.314764958175296
