team,three_pt_rate_off_gravity,three_pt_rate_def_gravity,three_pt_rate_off_avg,three_pt_rate_def_avg
Coppin St.,1.3211848585466581,1.8051989402274924,35.30270812425442,43.06606920376377
Cornell,1.0247586511876088,1.5544602640628569,51.433688436197365,38.288083056469326
Creighton,1.1450959885211498,1.017762976623837,48.137984143854155,32.35943483056673
Dartmouth,1.1107378645803534,1.9377092793152606,48.9027206879521,39.13324299021258
Davidson,0.8757531111423947,1.4165417817591708,43.62259135865919,37.00530641697578
Dayton,0.6633772358911013,-0.6923106027062524,41.48292990116347,40.958432246508195
DePaul,-0.7512803920768034,0.8861793901927765,39.250740185538845,34.06354905129857
Delaware,0.8385268055623518,1.2047462320074054,46.17733618335068,43.700617610781904
Delaware St.,1.1535178651599047,0.1363730471058826,29.6249047393496,34.623416939124695
Denver,0.9090654650498248,1.5229060840016577,38.691741773675446,37.134208373994625
Detroit Mercy,0.9323652869342954,0.7218389896757156,30.32890072416418,42.39189411968921
Drake,0.9216323558708214,1.2463768820558485,46.01010736548114,43.59318504042691
Drexel,1.3880456680836692,0.8291443353003455,40.22227904603263,34.06340989825375
Duke,0.9389037320405755,0.6399659578299149,44.17490265193558,45.636830997354124
Duquesne,0.8867712291748546,-1.5528221674308,44.49974978760894,39.953226983716526
East Carolina,0.9921468284703832,-0.01793225150621082,31.221527417866593,39.16841565966318
East Tennessee St.,1.5653450575112795,0.6420250133787186,37.512252627010795,47.451857824094716
East Texas A&M,0.9758418640926945,0.9332637629392141,46.230475526582,38.071296123779376
Eastern Illinois,0.9632870101648388,1.4570841099487415,30.16006063985832,41.36591716198752
Eastern Kentucky,0.9479999030903705,0.2866744005205065,51.097944237452516,41.387301438790196
Eastern Michigan,1.131963890779193,1.0125781177122146,32.214639563408106,35.68512863671087
Eastern Washington,0.7294973578381907,0.8669752485363452,34.61154223470558,38.78822484813485
Elon,0.8780803356514968,0.9721295129697233,43.16062358014215,44.7281029401788
Evansville,0.8374735817560827,0.8136608025089057,42.92084249400795,43.40256265165571
FIU,1.1177498562337167,1.0468548305394287,32.85189274313777,44.98596963992195
Fairfield,0.9030858184686618,0.7968722809788432,35.425626176878744,36.01253133901374
Fairleigh Dickinson,1.0309793586373235,1.803558210992804,45.0507950220877,40.5083489152922
Florida,0.7435648984218736,1.2742432329401232,37.83113229660714,33.40899333534183
Florida A&M,0.896689154902685,0.29779888875453464,38.13333396327097,33.91453861969705
Florida Atlantic,0.7725634264367631,0.6192657240779483,38.60115285826617,36.26784984995097
Florida Gulf Coast,1.5035239790207968,0.5203100957777453,38.42727775662866,46.02860228632089
Florida St.,0.9277903796264795,1.0136833761663608,50.38002595575136,44.42189182734777
Fordham,0.6524468004552587,0.7188052742038303,38.08122793105746,42.063938408637604
Fresno St.,0.0950711457795146,1.367238599342203,40.635494832667256,43.6146492872811
Furman,0.9168940879894828,-0.3628419342764752,46.15991742892289,42.0656378026048
Gardner Webb,0.4480817773680506,0.2651730942122927,39.84907878611996,40.9097368901973
George Mason,0.7857738131153664,0.36485280267696146,35.17732662298513,43.12126870675916
George Washington,1.0258177355655909,0.5170124739315934,46.2397446851564,43.387408337141174
Georgetown,0.4651027869278086,0.7297940139486141,35.63560186512935,41.13414390249012
Georgia,1.200334785608759,0.7261989729436853,43.40619198775961,37.85918299536903
Georgia Southern,0.8587543408899239,0.03122058844874096,49.307996937556,39.4704139126756
Georgia St.,0.8305760813354834,1.1431005180490361,42.48968247515052,38.983091580778726
Georgia Tech,1.006381080640669,0.6103764058081422,33.1563078462908,44.53825130767723
Gonzaga,0.9321356764175404,0.44506466929799926,31.118070148534184,43.54169202738732
Grambling St.,1.0843803024820542,-0.09968552686869518,38.20656707694147,35.29077715273562
Grand Canyon,1.205866215709967,1.1689538084097915,39.08342013281925,38.64210961884303
Green Bay,0.798288847261477,0.46141631942618605,37.151687474884184,43.25071214661619
Hampton,1.228674341407601,0.9059539731683546,36.912896104033365,33.5138024568694
Harvard,1.2752560077135358,1.971244284206,39.980070109743345,39.11636145496401
Hawaii,-0.008258135631344218,0.8852016323449253,39.50545273581753,32.61633667550156
High Point,1.1447216494672354,1.1326627143453087,43.00622354018586,41.29635901548545
Hofstra,1.1357802897134062,1.4372165763280964,43.084721964100616,40.638390117558494
Holy Cross,0.5101977647003407,2.619671221100515,37.11314059092194,38.716197740431454
Houston,0.9854164797451094,1.3294500166543706,41.60047275282562,41.73825599835684
Houston Christian,1.1399912837384902,0.7674816423944448,36.48520541952056,37.22696141070625
Howard,1.27051316849842,0.2511324374396119,34.17232190088717,33.860951008657636
IU Indy,1.212756875839552,1.1408982279014435,42.156795192053075,35.956706776628984
Idaho,0.9718298907431928,1.109218812490701,47.51841289063121,35.64574131665628
Idaho St.,1.179730480070255,0.9054397884984768,42.08714462085069,36.80955551376222
Illinois,0.8894017220996857,0.5758015318142404,51.07108340248685,41.6123075165596
Illinois Chicago,0.9702413291530476,0.8476010123900771,33.18912593856151,46.24577068261035
Illinois St.,0.8181769629135289,1.1711036828778452,42.49929608578472,34.68280309785443
Incarnate Word,0.051744361404352006,0.9121227048103305,39.0819424012772,35.30303979160131
Indiana,0.8709137492347393,0.8835352667453196,50.93971860300454,37.321217768812055
