team,tempo,Efficiency (Off),Efficiency (Def),eFG% (Off),eFG% (Def),3pt Rate (Off),3pt Rate (Def),FT Rate (Off),FT Rate (Def),TO Rate (Off),TO Rate (Def),ORB Rate (Off),ORB Rate (Def)
Ohio St.,0.5520777120754089,2.3065394224155154,0.29157111888838994,2.2957288616618823,1.1679864424692867,-0.11388090688286405,0.20087957916678237,1.4332541573839233,0.10125277528164921,0.673366523280271,-0.1028394687136825,0.004255174640750749,0.05735406291755694
Saint Mary's,1.0587910238074125,2.015542642298989,2.3521658748225516,0.7360867207448736,2.2081745877541605,-0.49369400397088536,0.9138817285855853,0.14112889655586264,1.5648925587036457,0.05028425514953327,-0.7642271260661602,2.156509903405192,2.6705406838530146
Iowa,0.883625248950883,2.1562565275977557,1.574538118033269,1.9246182443861348,0.15749848243673165,0.009090801175957558,0.19530001558809926,0.2256682159724068,-0.5167154501122573,0.8521382671451984,2.5511791402962416,0.2950077377466928,1.3162707229771935
North Carolina,0.758576818603463,1.8411443113754091,2.120849918628031,1.563314058159886,1.8650722663343489,0.08421308133372159,0.6093115650667893,0.9958201075401856,2.45922875140766,1.3601969035517454,-1.26129442252415,0.5129203101773837,1.8133706326848433
UCLA,1.0721824371243904,2.051719319112087,1.10633628345568,1.3261324378674622,0.7260369637970093,-0.7872315294604836,-1.383046538774019,0.253814026242677,0.2643425969208303,1.75234323645993,0.7498903162444711,0.5715039919907021,0.13477951783638462
Santa Clara,1.960673035923269,1.9296135859875294,0.7099283273013139,1.5385833830696973,0.015643390900176288,0.869363547978088,0.27536434545955246,-1.8300329647053528,-0.7074299545475692,0.7315370785540356,1.8835975158756644,1.9325394714713264,-0.2802524931194563
Villanova,1.4809926782295826,1.685790250923214,1.543128045452645,1.2393615523841341,0.20232403488406975,1.3724955568564567,0.7678171821805091,-0.2962530520877536,1.4807147074240428,1.188811519051787,1.3398527302675936,0.8327639953762164,0.20511760180243052
Cincinnati,-0.4975476066751666,0.47425631169729526,2.4790468095760767,0.19308355373685654,1.6528373240115424,0.7087279076149489,-0.17502711595750126,-0.8335705828839084,0.9774703813923498,0.0007008462225164262,0.9329255809980187,0.42596282506655764,1.6866850377480311
Texas A&M,0.8500437956875789,1.666855499948327,0.1553774859064378,1.1008976929739338,0.35607163477653675,1.2014753928858795,-0.5460823399269423,0.43865720034747313,0.008035072026800663,0.8059637086172783,0.9600040691714637,0.49096682487177246,0.17872303779038703
Kentucky,-0.08798148594676097,2.026860994584309,1.8342149952160325,1.0343072867301624,1.8514162088928057,0.0010866975695600423,-0.08110989818907775,0.771423535219673,0.19700544114692478,0.7244330421658041,-0.02355760379447416,1.7771312950009306,1.0769614945710582
Clemson,1.1139926087261869,1.2281589563407689,2.019009415205573,0.8912469661304114,1.5666121560686068,0.4579418052273065,-0.3331460538432151,1.0071149454012802,0.4404291924696021,1.0801969847737656,0.3111267261082924,-0.2685863563111086,2.0443615013308727
Miami FL,0.27673889966894916,1.7602334171305456,1.5299170995273097,1.7093090919627383,0.0008302743636761786,-1.4831453422205514,-0.06002642998299784,0.6032831794790534,1.196352782830005,-1.1904127758598556e-07,0.8414783720823222,1.794861841635777,2.132549182752237
Utah St.,-0.31054270868720557,2.1896595147529587,1.317919490249971,2.0265499507948954,0.8613836147544742,0.12414074019250511,-0.3227908441255723,0.44001880265754345,-0.15486589435940823,0.6779333345824078,1.5775501969319146,1.071988075913221,-0.29806170686527694
Indiana,0.562742360512576,1.8661541561417543,1.0507222276002819,1.8604224571332229,1.4534526168203272,1.717352646675766,0.45456268173950337,0.394373872296347,-0.10775287699349168,0.9544140548478259,-0.3800138142845615,-0.4067642095157096,0.4570370882415587
