team,ft_rate_off_gravity,ft_rate_def_gravity,ft_rate_off_avg,ft_rate_def_avg
Manhattan,1.5596436437101162,0.6933785560787631,34.426967455397154,25.799737492814817
Marist,0.9755565544948039,2.098620037238549,26.39659856886901,38.05891721965135
Marquette,0.13112813605103713,1.2966255774654203,33.696024725434114,32.46914652124844
Marshall,1.2750832111288226,0.9930600945832929,29.657951010779474,41.9553297907647
Maryland,2.7546740982915634,-0.9007707108141559,37.28701193016856,36.26129800608911
Maryland Eastern Shore,1.5851995887996462,0.838869566009089,29.277618753999757,44.594123297053414
Massachusetts,1.273537835934738,1.0561624945471162,38.48435698523278,46.71539020456612
McNeese St.,0.08654107422636564,1.2810125756669564,40.1561020195686,43.6112241532519
Memphis,0.7392712643524244,0.6881423547941071,34.5762881007565,43.33106767432406
Mercer,1.0726583319201914,0.9176254265470013,40.26200141544652,30.192484805154134
Mercyhurst,1.1601117277321227,1.3971184295445553,25.589223826219307,43.34442354361222
Merrimack,0.9793309051785857,1.9665961076924774,39.16082447787668,37.6427245799093
Miami FL,1.4768722373845231,1.0547374295674155,37.923414491696654,29.610402224202044
Miami OH,0.6477337821704767,0.8896282791506782,41.46505021685265,31.139377082003396
Michigan,2.0850059216829258,1.2462485006560604,39.69044420403199,26.546974095194965
Michigan St.,4.749833931597625,1.389953873794313,36.67740990641183,31.16360022175499
Middle Tennessee,1.6598709310704725,0.4590273517947794,32.19598820602191,36.52007652885937
Milwaukee,1.4201937423907927,2.5119145271294543,32.817856246754914,36.308125875007285
Minnesota,2.3775829911025252,1.1753969067648369,36.74927739205791,27.480226565458445
Mississippi,0.6012086326198554,0.4279178329896734,34.99880398721364,41.83320438102028
Mississippi St.,0.8921602008496393,1.9087627255423116,31.055589642075798,33.21798811490495
Mississippi Valley St.,3.1843775416192672,1.000659463967196,34.65092831286995,51.63323933769994
Missouri,1.0619427600330318,2.6667815546081783,43.41127366058684,35.269526711201415
Missouri St.,0.6256418771621355,1.1523904419926632,44.67472612544839,41.89863679942348
Monmouth,1.0449982527822033,0.8633945797134495,33.576769260997686,32.98994518018506
Montana,-0.8061536983818369,0.6914882815633371,36.95209072218206,32.574709625736034
Montana St.,1.3534299685881965,1.0160973849769794,30.64853257186747,30.321449192651773
Morehead St.,-0.030668666128524695,0.7388123193460676,38.216149909518165,36.109120333630344
Morgan St.,0.3884296482465985,1.028871069402322,42.92732442044324,52.175473706439966
Mount St. Mary's,0.915558072664576,1.9064658593753705,34.151982974645364,38.35540734970345
Murray St.,1.2085354615188335,0.36131344990049097,39.356927391516706,33.37478928436953
N.C. State,-1.3933764769814316,0.13077097690595552,35.06401229334294,37.97985155788191
NJIT,0.06739232132444754,1.5621371835009603,34.01786743386631,38.9343541984912
Navy,0.9139294843720362,0.7304734904265839,40.74497752639706,25.84221738657509
Nebraska,0.6296074291589322,1.101948293409302,27.98282897289129,25.362837422049264
Nebraska Omaha,1.371473993433705,0.7718109436822241,35.08530720327773,34.11240961388464
Nevada,0.9449388130773044,0.8212257304363241,46.23265510601071,39.85841746836063
New Hampshire,0.7200931618048898,1.9776282541344095,28.748859336771606,36.5979926806609
New Haven,1.746132543078437,0.5139152859959152,32.60186305012619,28.11079847162292
New Mexico,0.30351701640321554,1.5803249172173761,37.27606075179265,35.34391625467821
New Mexico St.,-1.232816658438045,0.9296888438598843,36.128139041462404,45.11299876572893
New Orleans,0.7359447624328829,1.5339008875339133,47.808351983598946,39.873068328378686
Niagara,1.02051207755732,0.33755186892947875,27.298306611667464,34.207982248167966
Nicholls St.,3.236042187707862,1.5023333853911507,35.48277887036868,38.55797932449933
Norfolk St.,0.4000083894501575,1.0078140767126587,45.199565167892025,45.615129512315065
