team,to_rate_off_gravity,to_rate_def_gravity,to_rate_off_avg,to_rate_def_avg
Northern Kentucky,-0.20583174639563268,1.1149453270282117,15.455520699339584,17.78773424081692
Northwestern,0.958119587541828,1.1925833100298284,12.43637633816724,16.21813957111025
Northwestern St.,0.08923377703015209,0.04950769104421027,16.865118933299918,15.863842680393866
Notre Dame,-0.08229504880312061,0.6657519802267423,15.919640220844501,13.082793879096133
Oakland,1.0020759300955935,0.6616403685362405,13.756227645081903,14.392944813496403
Ohio,0.8536401977750562,0.19145319716487122,14.274791690980036,15.63472879429838
Ohio St.,0.8018699762749613,0.1887888917460117,14.280438377049126,14.682562449480075
Oklahoma,0.9955365679666813,0.3474543971801639,13.927097253623847,14.790949500450244
Oklahoma St.,1.2440326250672533,-0.20178246080935225,15.326453397679018,15.66555796185505
Old Dominion,0.555885201190487,0.8106168525883904,14.440163637496347,13.644245735820638
Oral Roberts,0.9697772300519071,0.6866569540776827,17.718534035837195,14.020610197069377
Oregon,0.6279678114148047,0.25216228314486194,16.548559811997197,14.559553146372757
Oregon St.,0.4969208080479778,0.9825471068582173,16.791581717661572,14.308960709434528
Pacific,0.7794748495825189,0.8662060374182272,18.333893495311784,14.326953355378935
Penn,0.20540876533085456,0.2501476389625839,14.795346301483209,16.250993696044333
Penn St.,0.5826187813402544,1.295404105060519,14.878510931619465,16.37820960158468
Pepperdine,0.6876675551781959,-0.0362330552596259,17.085454918705604,15.822140735172235
Pittsburgh,0.18105204257696017,-0.19260815172363013,16.306315357800663,15.611216246404956
Portland,0.9408591622700936,-0.011933835455248475,18.827541718820417,15.986966850704327
Portland St.,1.036283055561203,0.8106018561910596,16.20701500833879,17.066987328098442
Prairie View A&M,0.8825119465762821,0.48411424352386334,15.073012095655717,18.377767490391932
Presbyterian,0.9513980752045086,0.7840213240361318,18.195933009565163,14.411187483999823
Princeton,0.4202678024121957,0.9261899979327237,16.00178207715775,13.388510168556632
Providence,-0.462397520031612,0.7169023338873889,16.076145695571945,12.359475766604303
Purdue,1.1002124985549142,-0.4539118029557432,13.229718916960538,15.247063244701808
Purdue Fort Wayne,0.7188180974873191,1.0377901878743108,13.463325494198717,17.745211992259787
Queens,0.5673223862701766,0.8813969884101763,14.216966257829595,14.168909335265994
Quinnipiac,0.5479778210117925,0.4124877697735674,15.01812105990906,16.652199226948078
Radford,0.7220844185308862,0.5715933265256168,16.262823167407507,17.318329499999127
Rhode Island,1.0463221079281657,0.9925195470748933,17.737335328345456,20.23300125127498
Rice,0.5240455446531963,0.6862266048153284,16.578278447235327,14.432521870147816
