team,efficiency_off_gravity,efficiency_def_gravity,efficiency_off_avg,efficiency_def_avg
Kennesaw St.,0.4634247942727052,-0.1738772746544737,109.85333576592372,106.58883188029843
Kent St.,0.22760678439047896,1.1308875675996906,111.51207024327486,109.40506814523022
Kentucky,1.658972613695483,3.973623788202495,116.25562722529115,105.40298626779023
LIU,-2.1843941851370343,-0.08785064689411953,109.01601744242886,102.23017978127712
LSU,1.4912492412782552,-0.7519178896883738,115.22328467911653,111.22751427986306
La Salle,0.6036528276537113,0.315788534768114,98.94457861250548,111.09939531731017
Lafayette,1.6489511508808972,1.9561839337831786,102.57212945071393,112.75728121233617
Lamar,1.2958369540229282,-0.8426315923476883,102.40362397311735,105.9241093267491
Le Moyne,2.5313610129023845,-4.10791715904775,105.36562800450072,106.71530637219266
Lehigh,2.084648171936937,4.70812635309664,104.45601735831758,108.84240208759088
Liberty,0.9905362031450271,2.011117112056831,117.36399507775177,109.48444543164852
Lindenwood,1.433710545435985,-0.1125032882836367,100.9793741129241,101.93098123100626
Lipscomb,-0.8822524034298905,1.2130046171454283,110.3933141192983,108.58288064598726
Little Rock,1.2574139978825978,5.357362836479695,102.01148023070735,109.47339564713727
Long Beach St.,0.8071865982018046,1.7638323729556464,101.43004249135153,110.04123432849458
Longwood,2.557030839283573,-2.5910721131331647,106.44121230724603,106.75331437465539
Louisiana,1.1902993433029643,3.2968332892884797,99.21000915255394,109.34236993478515
Louisiana Monroe,1.185362327826137,1.3620873203913593,99.53250891831277,119.29803552491654
Louisiana Tech,1.3179557573827239,0.5600938742223448,102.53379531269138,103.07172338565633
Louisville,1.4954686494400349,1.8786568571931235,119.54270211202332,101.82808450404312
Loyola Chicago,0.703968081590907,0.8235596878693442,100.48763513165632,115.18889627358055
Loyola MD,2.3329954478967894,2.3676582565255426,104.94204006698618,112.58798563126756
Loyola Marymount,0.7130214637506351,0.9855129826468714,104.98124836357718,105.04557318124166
Maine,1.3245421872905265,-0.5342119536113747,94.65608034802393,103.51600114799461
Manhattan,2.005525001381249,2.0200924304389583,104.94644300823975,114.98511373132416
Marist,1.9224965216738927,0.4653579166515556,103.37320178980713,95.53912188490949
Marquette,-0.24925563547304141,3.216183724438539,104.31890412893188,105.95316041472346
Marshall,0.6904007691054127,1.829873214029465,113.19503306325132,110.32294948695876
Maryland,-0.1254521045411848,-0.1153583265600096,103.34404520432713,113.99314398079751
Maryland Eastern Shore,1.2680370582126057,5.395658027698648,94.56197273414061,109.10770236920088
