team,tempo_gravity,avg_pace,efficiency_off_gravity,efficiency_def_gravity,efg_off_gravity,efg_def_gravity,three_pt_rate_off_gravity,three_pt_rate_def_gravity,ft_rate_off_gravity,ft_rate_def_gravity,to_rate_off_gravity,to_rate_def_gravity,orb_rate_off_gravity,orb_rate_def_gravity
Binghamton,0.4095789491378029,66.85714285714286,1.584627690190487,2.3671118192591747,1.5737963471898584,1.6602386659557182,0.8300019004131871,1.1018729293372675,0.927492105835786,-2.143704816685976,1.4025910416788172,1.2443666247397365,1.1154388071691412,-0.5323643900245183
Boise St.,0.8475627427445591,67.92413793103448,1.600333314886583,4.843428468928781,1.521399641288714,-0.5258251467078953,0.7133598983493651,0.7254792681010661,0.857407902049459,1.5850877691894798,0.4198158362461957,0.760394696731857,1.343161956722583,1.2908350647678226
Boston College,0.6226701301881565,68.01870967741935,0.6089145308972157,1.8665636478566516,0.8202600921968857,1.4737310392856422,0.6049433781434064,1.0448727509485152,0.6333325670135467,1.1929605226557445,0.702573224771007,0.7075144607102666,-0.03161221625946669,1.3578936995558093
Boston University,0.8092409646762295,65.460625,0.4120610424440365,2.1385878006390096,0.7475996517446242,1.5161091986643154,1.290892203476815,-0.2679134527594259,1.0682869592479842,0.5221483340288833,0.7296919199337328,1.0347945948382107,1.4411419650012738,-0.24448834261687016
Bowling Green,0.3111729116645264,70.84857142857143,-1.5909804304451687,0.58356307460329,-0.588007244504967,0.6786422937701245,1.2589679470844362,1.1893652072333158,0.29920186715519387,1.0804176596158237,0.2962546193037646,0.6854109400557935,1.4028161062297269,0.6938895813606977
Bradley,1.8717176310835149,70.00875,1.4506703637623974,0.47924195727601854,-0.1511100417251439,0.2825169352614817,0.9897310350064373,-0.4390888906710543,2.7535491166026014,1.405994278352471,0.9107793230051506,0.9036141421151794,0.8690210339643639,-0.0101339161315141
Brown,0.0029283729378884356,68.4112,1.2141693454995133,-0.3231963036559309,1.2580604519063423,-0.07488000239136394,0.5666780155751894,0.29432005562172464,0.879114398057575,1.3223916455743696,1.326831879318473,0.704527842346764,0.754612982507419,-0.6184155691990981
Bryant,0.753632146010409,66.02,1.174051428900335,2.6020288781727263,1.0840988423332865,1.7005424031696057,1.1642185254835058,1.018370378947487,0.8712037190039981,-0.07123211699998878,1.2636179216095569,1.123744942286358,1.0632986473840367,3.457286207095142
Bucknell,0.2890685082166115,67.89696969696969,1.397290679300329,1.6286081032382205,1.3788020046640033,1.0161070756343482,1.059446781822194,0.5692168185269207,0.9402549135446028,0.4108019376648576,1.1938405758666897,0.9587404499716926,1.0657263384924447,2.6492168790367225
Buffalo,1.0983596140901088,68.32275862068965,0.6400621815130915,1.720095616096774,0.7247831837204449,1.1459790068629974,0.7135314223746186,1.1478640076383062,0.9184317231812267,0.957256197220295,0.21283474054845827,0.7551805187488411,1.16762447280109,2.262943619386301
Butler,0.8959335637347898,71.69483870967741,2.8070961250460607,2.2513963522825784,-0.8177780358553403,-0.17371335476315997,0.4454470597825618,1.1437984803555274,1.1603465465951401,0.9786548827457815,1.328242965305803,0.3516693731652115,1.209286564703666,1.9277410828756985
Cal Baptist,1.8467536658373533,68.54774193548387,1.3336154067359076,0.569260706224708,1.350695977540639,0.784770413984384,0.7381232384114422,0.4721020437420019,-0.8074721964446935,1.02892240131078,-0.12807131134170638,-0.7368921153511149,0.9127535809063874,1.0378141698346555
Cal Poly,0.8865853815252404,77.05066666666667,0.6447459493063831,1.4993639716462015,0.272477741887152,0.9136864730750425,1.019590747825394,1.6189707713602084,-0.3542855076742222,1.4256390968436887,0.9030435923540281,0.8251303539420749,-0.023508028988896194,1.0429228143028744
Cal St. Bakersfield,0.610575477853307,73.33066666666667,0.9480296962774852,1.568428453375368,1.0215951207064422,1.2024597674257824,1.0994217147059695,0.6053715291008602,0.9072866626299225,1.003991518041189,0.8184332263764484,0.2614900451257216,-0.28384065622116605,1.514097826081249
Cal St. Fullerton,0.7505331527101391,75.77533333333334,0.08793210590810473,1.5247326561833985,0.6471137943086734,0.9547147586767051,0.9552562737974013,1.119270499826393,0.5615084867221765,0.5298483289545951,0.7899566248516188,0.7149207207684676,0.8792144436653795,0.5501114059141528
Cal St. Northridge,0.8876871464111267,76.92533333333334,0.9767152697396707,-0.797546165279824,0.6024651203445871,0.22562652403748198,1.0150309488015066,0.9302480066955532,-0.35573644049102743,1.0393880121757335,0.5440544872452934,0.1870534014169953,0.9672360242793023,0.5807045309461409
California,0.7539264303893894,70.67866666666667,3.750747437412044,1.6437989187758764,1.1038207898316306,1.4092942126573222,0.8617655617267015,1.2759603327006905,1.4271059230361236,0.5992186521301872,0.9459201878103207,0.28301889477167586,0.7686732593970089,1.9438437825558788
Campbell,2.1277684366511846,69.93625,0.329616762884009,1.0753292023612055,0.49291287644520015,1.0459689301325725,1.3752283237520604,0.9896946397383753,1.1664414186604193,0.24023657110850077,0.7335210482826895,0.4396889013556618,1.2665568967500027,0.953714439662247
Canisius,0.8248100377188742,64.862,1.286809854651834,3.7626080061676594,1.186063540365211,2.052973088720758,0.04310150533262972,1.0864584140811038,1.059074440560948,0.36491666450576404,0.7965933895305604,1.1927015773973684,2.2075202843283392,-0.8169365415247221
Central Arkansas,0.9802621062775406,70.754375,-0.37885146227245353,0.02802332666306455,0.12818562613119475,0.8877029640840172,0.9258908308434363,0.972815915135521,1.252473363561591,0.6100538501390915,0.35081485020044695,1.1024834036665507,1.5152018514405157,0.4914792996150802
Central Connecticut,0.7997711219593288,65.84071428571428,3.2461055129168987,6.474762720807479,-1.0076146957477807,-0.8868311801733381,0.9898985407033175,-1.597403204922909,1.8263119047427512,0.572080472269659,0.09197470702983167,1.212433855734996,1.158947099348434,2.0458735187806623
Central Michigan,1.3566947727651204,68.14965517241379,1.5070874873828424,1.3436024501076984,-0.15632739010194438,1.0513737797604108,1.362491313525114,1.7213841102910343,1.0478265721575888,1.0584502344895745,0.8286457456988018,0.003814233775152793,0.7111781305619002,1.2621082341557972
Charleston,1.7312580854034438,69.61870967741935,-0.9016584162718736,0.4692278107302934,1.0376795096757683,0.8660167823081028,1.1352839109100472,0.844932419969005,0.917191333308564,1.1005496133548487,0.14267146123813984,0.9321608849525765,0.8451888625431411,-0.17238524568629385
Charleston Southern,0.881658971325517,76.15517241379311,2.713513509012283,-0.7128759218389783,0.42340176662347123,0.6806172422564574,1.0152703628940398,1.0512529605962935,1.3273254923742948,0.8469849721937808,0.8579192106642216,1.1208046234157873,0.13040716859770482,0.3770398361611915
Charlotte,1.0187736232620512,65.47466666666666,1.2715765713950498,0.9767853942343648,1.1744550903346616,-0.22496248979631026,1.0591093923057124,1.162827321130327,1.8647639175870656,0.37219227713624675,0.7865659886590881,0.7853947219123035,1.0515384557497414,0.3925603804484272
Chattanooga,0.6820272720378964,67.71586206896552,-1.3301026437102224,1.4059067114709933,0.12494184566640384,1.0217630294548805,0.9582956675874461,0.6981713748076225,1.077413698722413,0.8571457950803005,0.5220483201276125,0.889758681564419,1.0910769635356072,1.4157688476617225
Chicago St.,0.5481667080817172,66.78709677419356,1.1603305636727446,1.6150991579644924,1.1258896244659666,1.1678857413671344,0.9040069856154692,1.0337385672417534,1.2055350931113795,2.0807205696184714,0.7686559368909615,0.7622750754973893,0.939433970909773,1.4072548086473333
